year,Type,Co2 Emission
1866,Oil,6.732
1866,Other Industries,0.0
1867,Coal,2232.2309999999998
1867,Gas,0.0
1867,Oil,7.087
1867,Other Industries,0.0
1868,Coal,2277.775
1868,Gas,0.0
1868,Oil,8.339
1868,Other Industries,0.0
1869,Coal,2406.044
1869,Gas,0.0
1869,Oil,9.493
1869,Other Industries,0.0
1870,Coal,2450.907
1870,Gas,0.0
1870,Oil,11.426
1870,Other Industries,0.0
1871,Coal,2608.375
1871,Gas,0.0
1871,Oil,12.216000000000001
1871,Other Industries,0.0
1872,Coal,2861.499
1872,Gas,0.0
1872,Oil,13.495000000000001
1872,Other Industries,0.0
1873,Coal,3023.379
1873,Gas,0.0
1873,Oil,20.411
1873,Other Industries,0.0
1874,Coal,2818.95
1874,Gas,0.0
1874,Oil,22.386
1874,Other Industries,0.0
1875,Coal,3079.192
1875,Gas,0.0
1875,Oil,22.054
1875,Other Industries,0.0
1876,Coal,3130.234
1876,Gas,0.0
1876,Oil,25.34
1876,Other Industries,0.0
1877,Coal,3160.715
1877,Gas,0.0
1877,Oil,33.354
1877,Other Industries,0.0
1878,Coal,3184.728
1878,Gas,0.0
1878,Oil,37.528999999999996
1878,Other Industries,0.0
1879,Coal,3363.251
1879,Gas,0.0
1879,Oil,46.665
1879,Other Industries,0.0
1880,Coal,3796.966
1880,Gas,0.0
1880,Oil,55.125
1880,Other Industries,0.0
1881,Coal,3909.326
1881,Gas,0.0
1881,Oil,63.498999999999995
1881,Other Industries,0.0
1882,Coal,4097.45
1882,Gas,0.495
1882,Oil,69.477
1882,Other Industries,0.0
1883,Coal,4358.743
1883,Gas,1.143
1883,Oil,63.295
1883,Other Industries,0.0
1884,Coal,4373.482
1884,Gas,3.516
1884,Oil,71.827
1884,Other Industries,0.0
1885,Coal,4388.408
1885,Gas,11.145
1885,Oil,77.048
1885,Other Industries,0.0
1886,Coal,4414.798
1886,Gas,23.028
1886,Oil,85.653
1886,Other Industries,0.0
1887,Coal,4605.221
1887,Gas,35.361000000000004
1887,Oil,93.827
1887,Other Industries,0.0
1888,Coal,5023.647
1888,Gas,50.322
1888,Oil,99.41199999999999
1888,Other Industries,0.0
1889,Coal,5096.816
1889,Gas,36.681
1889,Oil,112.007
1889,Other Industries,0.0
1890,Coal,5474.05
1890,Gas,35.064
1890,Oil,134.40800000000002
1890,Other Industries,0.0
1891,Coal,5704.594
1891,Gas,26.840999999999998
1891,Oil,158.022
1891,Other Industries,0.0
1892,Coal,5715.134
1892,Gas,23.325000000000003
1892,Oil,157.848
1892,Other Industries,0.0
1893,Coal,5608.771
1893,Gas,21.864
1893,Oil,170.288
1893,Other Industries,0.0
1894,Coal,5903.809
1894,Gas,20.094
1894,Oil,166.255
1894,Other Industries,0.0
1895,Coal,6176.627
1895,Gas,21.125999999999998
1895,Oil,196.495
1895,Other Industries,0.0
1896,Coal,6398.635
1896,Gas,20.544
1896,Oil,209.794
1896,Other Industries,0.0
1897,Coal,6701.852
1897,Gas,21.864
1897,Oil,224.10500000000002
1897,Other Industries,0.0
1898,Coal,7023.539
1898,Gas,25.380000000000003
1898,Oil,235.868
1898,Other Industries,0.0
1899,Coal,7618.986
1899,Gas,32.712
1899,Oil,248.357
1899,Other Industries,0.0
1900,Coal,8008.307
1900,Gas,34.626
1900,Oil,278.719
1900,Other Industries,4.1579999999999995
1901,Coal,8155.586
1901,Gas,38.583
1901,Oil,308.666
1901,Other Industries,4.968
1902,Coal,8294.535
1902,Gas,41.096000000000004
1902,Oil,324.672
1902,Other Industries,6.4350000000000005
1903,Coal,8947.635
1903,Gas,43.592
1903,Oil,336.892
1903,Other Industries,7.599
1904,Coal,9037.607
1904,Gas,45.505
1904,Oil,373.745
1904,Other Industries,8.196000000000002
1905,Coal,9561.568
1905,Gas,51.518
1905,Oil,364.193
1905,Other Industries,10.473
1906,Coal,10002.326
1906,Gas,57.102999999999994
1906,Oil,374.438
1906,Other Industries,13.41
1907,Coal,11232.698
1907,Gas,59.653
1907,Oil,447.512
1907,Other Industries,13.803
1908,Coal,10925.583
1908,Gas,59.05
1908,Oil,482.34900000000005
1908,Other Industries,14.607
1909,Coal,11225.04
1909,Gas,70.59899999999999
1909,Oil,505.366
1909,Other Industries,18.292
1910,Coal,11661.927
1910,Gas,74.777
1910,Oil,533.483
1910,Other Industries,21.376
1911,Coal,11884.15
1911,Gas,77.8
1911,Oil,563.03
1911,Other Industries,21.924
1912,Coal,12426.636
1912,Gas,85.77799999999999
1912,Oil,579.738
1912,Other Industries,23.087
1913,Coal,13424.409
1913,Gas,89.989
1913,Oil,661.935
1913,Other Industries,25.783
1914,Coal,12048.94
1914,Gas,91.636
1914,Oil,667.795
1914,Other Industries,24.464
1915,Coal,11703.216
1915,Gas,96.75999999999999
1915,Oil,706.546
1915,Other Industries,23.909
1916,Coal,12534.013
1916,Gas,116.80700000000002
1916,Oil,761.976
1916,Other Industries,25.516000000000002
1917,Coal,12880.805
1917,Gas,123.23400000000001
1917,Oil,844.356
1917,Other Industries,25.653
1918,Coal,12474.441
1918,Gas,110.905
1918,Oil,847.0989999999999
1918,Other Industries,19.663
1919,Coal,10573.216
1919,Gas,115.609
1919,Oil,936.5720000000001
1919,Other Industries,22.296
1920,Coal,12208.141
1920,Gas,127.973
1920,Oil,1187.536
1920,Other Industries,27.325000000000003
1921,Coal,10583.334
1921,Gas,107.98600000000002
1921,Oil,1304.682
1921,Other Industries,26.9
1922,Coal,11161.408
1922,Gas,123.518
1922,Oil,1442.121
1922,Other Industries,31.52
1923,Coal,12181.627
1923,Gas,160.987
1923,Oil,1583.808
1923,Other Industries,37.685
1924,Coal,12592.473
1924,Gas,183.337
1924,Oil,1585.943
1924,Other Industries,40.906
1925,Coal,12534.936
1925,Gas,197.324
1925,Oil,1670.892
1925,Other Industries,43.467
1926,Coal,11897.026
1926,Gas,212.75
1926,Oil,1656.38
1926,Other Industries,44.423
1927,Coal,13474.623
1927,Gas,233.85999999999999
1927,Oil,1796.009
1927,Other Industries,46.828
1928,Coal,13282.95
1928,Gas,254.335
1928,Oil,1836.9699999999998
1928,Other Industries,142.159
1929,Coal,14212.347
1929,Gas,317.308
1929,Oil,2015.022
1929,Other Industries,148.224
1930,Coal,13022.455
1930,Gas,323.503
1930,Oil,2001.143
1930,Other Industries,143.64600000000002
1931,Coal,11590.208999999999
1931,Gas,291.406
1931,Oil,1969.929
1931,Other Industries,127.754
1932,Coal,10429.67
1932,Gas,278.063
1932,Oil,1900.9189999999999
1932,Other Industries,105.225
1933,Coal,10865.134
1933,Gas,287.627
1933,Oil,2070.533
1933,Other Industries,102.434
1934,Coal,11861.639000000001
1934,Gas,322.975
1934,Oil,2219.799
1934,Other Industries,122.747
1935,Coal,12365.761
1935,Gas,352.742
1935,Oil,2390.866
1935,Other Industries,139.248
1936,Coal,13460.386999999999
1936,Gas,398.101
1936,Oil,2600.6769999999997
1936,Other Industries,164.861
1937,Coal,14322.951
1937,Gas,444.604
1937,Oil,2901.212
1937,Other Industries,173.449
1938,Coal,13636.23
1938,Gas,429.595
1938,Oil,2845.199
1938,Other Industries,167.065
1939,Coal,14389.368
1939,Gas,446.39
1939,Oil,2937.886
1939,Other Industries,148.422
1940,Coal,15818.391
1940,Gas,486.48
1940,Oil,3040.646
1940,Other Industries,125.701
1941,Coal,15949.816
1941,Gas,471.93899999999996
1941,Oil,3023.487
1941,Other Industries,174.029
1942,Coal,15712.95
1942,Gas,510.71500000000003
1942,Oil,2859.167
1942,Other Industries,145.794
1943,Coal,15808.164999999999
1943,Gas,559.677
1943,Oil,3012.734
1943,Other Industries,136.972
1944,Coal,15394.55
1944,Gas,602.444
1944,Oil,3465.135
1944,Other Industries,84.637
1945,Coal,11462.792
1945,Gas,673.655
1945,Oil,3354.848
1945,Other Industries,86.156
1946,Coal,12933.618
1946,Gas,697.63
1946,Oil,3837.7839999999997
1946,Other Industries,140.916
1947,Coal,14507.042
1947,Gas,773.6840000000001
1947,Oil,4217.654
1947,Other Industries,170.38
1948,Coal,15073.446
1948,Gas,879.215
1948,Oil,4640.585
1948,Other Industries,208.202
1949,Coal,14829.261
1949,Gas,951.4359999999999
1949,Oil,4713.0509999999995
1949,Other Industries,237.401
1950,Coal,15948.503999999999
1950,Gas,1111.578
1950,Oil,5611.938
1950,Other Industries,497.448
1951,Coal,16969.348
1951,Gas,1307.386
1951,Oil,5908.26
1951,Other Industries,553.088
1952,Coal,16913.801
1952,Gas,1406.157
1952,Oil,6263.903
1952,Other Industries,593.578
1953,Coal,17089.638
1953,Gas,1499.73
1953,Oil,6691.478
1953,Other Industries,620.121
1954,Coal,17303.735
1954,Gas,1589.109
1954,Oil,7184.469
1954,Other Industries,640.112
1955,Coal,18658.748
1955,Gas,1742.616
1955,Oil,8073.85
1955,Other Industries,757.019
1956,Coal,19609.43
1956,Gas,1884.5080000000003
1956,Oil,8833.107
1956,Other Industries,828.895
1957,Coal,20008.546
1957,Gas,2103.247
1957,Oil,9300.054
1957,Other Industries,849.347
1958,Coal,20101.406
1958,Gas,2329.959
1958,Oil,9803.619999999999
1958,Other Industries,847.7299999999999
1959,Coal,20629.408
1959,Gas,2536.222
1959,Oil,10520.508
1959,Other Industries,905.3729999999999
1960,Coal,21396.751
1960,Gas,2823.872
1960,Oil,11392.003
1960,Other Industries,950.333
1961,Coal,20792.714
1961,Gas,3032.1059999999998
1961,Oil,12140.493
1961,Other Industries,985.855
1962,Coal,20848.353
1962,Gas,3365.302
1962,Oil,13204.31
1962,Other Industries,1038.434
1963,Coal,21688.345
1963,Gas,3676.941
1963,Oil,14303.323
1963,Other Industries,1101.149
1964,Coal,22008.672
1964,Gas,4096.5509999999995
1964,Oil,15508.739
1964,Other Industries,1272.911
1965,Coal,22218.62
1965,Gas,4422.884
1965,Oil,16766.650999999998
1965,Other Industries,1379.2939999999999
1966,Coal,22281.992000000002
1966,Gas,4830.452
1966,Oil,18130.01
1966,Other Industries,1497.57
1967,Coal,21929.466
1967,Gas,5202.8060000000005
1967,Oil,19404.323
1967,Other Industries,1693.982
1968,Coal,22157.127
1968,Gas,5703.314
1968,Oil,21194.278
1968,Other Industries,1806.513
1969,Coal,22907.482
1969,Gas,6265.351000000001
1969,Oil,23004.839
1969,Other Industries,2013.857
1970,Coal,23424.012
1970,Gas,6571.493
1970,Oil,26220.524
1970,Other Industries,2195.57
1971,Coal,23371.63
1971,Gas,7186.352
1971,Oil,27757.557999999997
1971,Other Industries,2476.311
1972,Coal,23223.628
1972,Gas,7706.5779999999995
1972,Oil,29919.811999999998
1972,Other Industries,2646.224
1973,Coal,23795.993000000002
1973,Gas,8096.8240000000005
1973,Oil,32031.174
1973,Other Industries,2936.2400000000002
1974,Coal,23834.948
1974,Gas,8393.921
1974,Oil,31622.593
1974,Other Industries,2910.538
1975,Coal,24238.221
1975,Gas,8580.787
1975,Oil,31265.052
1975,Other Industries,2712.873
1976,Coal,25277.596
1976,Gas,9156.25
1976,Oil,33037.945
1976,Other Industries,3016.699
1977,Coal,25663.802
1977,Gas,9393.526
1977,Oil,34079.679
1977,Other Industries,3031.945
1978,Coal,26255.035
1978,Gas,9888.484
1978,Oil,35405.408
1978,Other Industries,3156.254
1979,Coal,27232.176
1979,Gas,10486.125
1979,Oil,36053.028
1979,Other Industries,3024.139
1980,Coal,28059.868000000002
1980,Gas,10819.085
1980,Oil,34816.149
1980,Other Industries,2868.871
1981,Coal,27680.829999999998
1981,Gas,11020.051
1981,Oil,33150.405
1981,Other Industries,2566.992
1982,Coal,28104.124
1982,Gas,10864.161
1982,Oil,32415.447
1982,Other Industries,2552.359
1983,Coal,28773.774
1983,Gas,11139.445
1983,Oil,32114.104
1983,Other Industries,2493.547
1984,Coal,29779.564000000002
1984,Gas,12024.942
1984,Oil,32201.834
1984,Other Industries,2395.064
1985,Coal,32037.06
1985,Gas,12618.784
1985,Oil,32208.99
1985,Other Industries,2372.987
1986,Coal,32355.87
1986,Gas,12363.755
1986,Oil,33057.08
1986,Other Industries,2380.761
1987,Coal,33316.924
1987,Gas,13435.600999999999
1987,Oil,32965.485
1987,Other Industries,2422.349
1988,Coal,34210.154
1988,Gas,14077.429
1988,Oil,33999.118
1988,Other Industries,2617.187
1989,Coal,34132.685
1989,Gas,14805.146
1989,Oil,34527.193
1989,Other Industries,2548.803
1990,Coal,33185.665
1990,Gas,15891.201000000001
1990,Oil,35366.127
1990,Other Industries,3596.262
1991,Coal,32556.311
1991,Gas,16167.617999999999
1991,Oil,36269.889
1991,Other Industries,3566.589
1992,Coal,31327.395
1992,Gas,16241.267
1992,Oil,34635.704
1992,Other Industries,3501.597
1993,Coal,31377.993
1993,Gas,16607.459
1993,Oil,34515.101
1993,Other Industries,3474.442
1994,Coal,31232.742000000002
1994,Gas,16640.387
1994,Oil,34421.823000000004
1994,Other Industries,3578.037
1995,Coal,31962.199
1995,Gas,16989.32
1995,Oil,34632.151
1995,Other Industries,3700.9790000000003
1996,Coal,32551.802
1996,Gas,17771.342
1996,Oil,35605.945
1996,Other Industries,3725.6530000000002
1997,Coal,32201.009000000002
1997,Gas,17776.645
1997,Oil,35956.714
1997,Other Industries,3807.432
1998,Coal,31298.712
1998,Gas,18101.729
1998,Oil,36166.04
1998,Other Industries,3740.219
1999,Coal,30946.939
1999,Gas,18641.309
1999,Oil,36879.622
1999,Other Industries,3812.181
2000,Coal,32171.806999999997
2000,Gas,19074.229
2000,Oil,37373.115
2000,Other Industries,4059.694
2001,Coal,32424.646
2001,Gas,19329.336
2001,Oil,37748.947
2001,Other Industries,4154.741
2002,Coal,33598.032
2002,Gas,19868.55
2002,Oil,37655.775
2002,Other Industries,4333.711
2003,Coal,36086.36
2003,Gas,20641.199
2003,Oil,38479.847
2003,Other Industries,4540.647
2004,Coal,38112.038
2004,Gas,21300.211
2004,Oil,39612.666
2004,Other Industries,4842.124
2005,Coal,40047.715
2005,Gas,21790.172
2005,Oil,39818.568
2005,Other Industries,5097.151
2006,Coal,42240.631
2006,Gas,22298.475
2006,Oil,39987.726
2006,Other Industries,5422.8640000000005
2007,Coal,44073.644
2007,Gas,22917.333
2007,Oil,40002.011
2007,Other Industries,5742.734
2008,Coal,45434.880000000005
2008,Gas,23539.646
2008,Oil,39923.962
2008,Other Industries,5797.802
2009,Coal,44486.057
